Caption,Description,Id,Session
Open records; exemption; certain personal information,HB 1594,12363,2003_04
Civil cases; required forms for filing complaints or judgments,HB 1595,12364,2003_04
Malpractice insurance; cancellation/increase in premiums; agent restrictions,HB 1596,12365,2003_04
Abortion; minors; identification requirements,HB 1597,12366,2003_04
Business and occupation tax; certain construction permits; mail or electronic means,HB 1598,12367,2003_04
State service delivery regions; change regions 7 and 12,HB 1599,12368,2003_04
Probation; increase supervision fees; fees for transferal,HB 1600,12369,2003_04
Ware County; probate judge; nonpartisan elections,HB 1601,12370,2003_04
Ware County; state court solicitor-general and judge; compensation,HB 1602,12371,2003_04
Hancock County; homestead exemption; certain residents,HB 1603,12374,2003_04
"Remerton, City of; new charter",HB 1604,12376,2003_04
Overpaid taxes; refunds by counties or municipalities; time to file claim,HB 1605,12379,2003_04
Hall County; homestead exemption; certain survivors,HB 1606,12380,2003_04
Education loans; repayment assistance; public interest lawyers,HB 1607,12381,2003_04
Hunting and fishing; honorary licenses; disability certification,HB 1608,12382,2003_04
State and local governments; Ten Commandments display; authorize,HB 1609,12383,2003_04
Cobb County-Marietta Water Authority; immunity; amend provisions,HB 1610,12384,2003_04
Marion County; commissioner districts; reapportion,HB 1611,12385,2003_04
Local sales tax; special county 1 percent sales tax; water and sewer projects,HB 1612,12386,2003_04
School councils; option to include two student members,HB 1613,12387,2003_04
Academic Placement and Promotion Policy; amend certain provisions,HB 1614,12388,2003_04
Surface and ground water; interbasin and intrabasin transfers; regulate,HB 1615,12389,2003_04
General Assembly; 2004 Biennial Institute; change location,HB 1616,12390,2003_04
Notaries public; amend provisions; superior court fees,HB 1617,12391,2003_04
Torts; health care services; noneconomic damages,HB 1618,12392,2003_04
Candler County; probate judge; nonpartisan elections,HB 1619,12393,2003_04
Public property; restrooms; standards,HB 1620,12400,2003_04
Elbert County; form of government; advisory referendum,HB 1621,12401,2003_04
DeKalb County; recorder's court judge; change terms,HB 1622,12405,2003_04
Captive insurance companies; workers' compensation contracts; amend provisions,HB 1623,12406,2003_04
Local governments; land use regulations; housing resources,HB 1624,12407,2003_04
Cable television systems; underground cable; installation requirement,HB 1625,12408,2003_04
Interscholastic or intramural extracurricular athletic policy; provisions,HB 1626,12409,2003_04
Health; advisory committee on hearing in newborn infants; continuation,HB 1627,12410,2003_04
State symbols; blueberry; designate as official state berry,HB 1628,12414,2003_04
Terrell County; education districts; reapportion,HB 1629,12416,2003_04
"Preston, City of; new charter",HB 1630,12417,2003_04
Adoption and child custody proceedings; 90-day time limit for court decision,HB 1631,12430,2003_04
Juvenile proceedings; certain conviction; termination of parental rights ,HB 1632,12431,2003_04
State and local governments; Ten Commandments display; authorize,HB 1633,12432,2003_04
State and local governments; employment of illegal aliens; prohibit,HB 1634,12433,2003_04
Education; Adequate Yearly Progress Reports; review; appeals,HB 1635,12434,2003_04
Education; high-performing schools; exemptions from certain requirements,HB 1636,12435,2003_04
Seat belts; passenger vehicles; eliminate certain exceptions,HB 1637,12453,2003_04
Open meetings and records; exemption; Georgia Sports Hall of Fame Authority,HB 1638,12454,2003_04
Redevelopment; tax allocation districts; amend certain provisions,HB 1639,12459,2003_04
Developmental Highway System; add highway,HB 1640,12460,2003_04
Incorporation of municipalities; minimum distance; amend provisions,HB 1641,12463,2003_04
Sales tax exemption; liquidation of estate of deceased person,HB 1642,12464,2003_04
Municipalities; private trespass towing; license fees,HB 1643,12465,2003_04
Public roads; design-build contracts; definitions and provisions,HB 1644,12466,2003_04
Cemeteries; removal of isolated abandoned burial plots; provisions,HB 1645,12467,2003_04
Eminent domain; municipal corporations; transfer interest in property,HB 1646,12468,2003_04
Deeds conveying title; recordation; additional requirements,HB 1647,12469,2003_04
State Bar; jury trial before disbarment; repeal option,HB 1648,12470,2003_04
Professional malpractice actions; expert testimony and opinions; standards,HB 1649,12471,2003_04
Cobb County; state court; add judges,HB 1650,12472,2003_04
Harvest-hunt preserves; authorize and regulate,HB 1651,12484,2003_04
Metropolitan Commission on Homelessness; create,HB 1652,12501,2003_04
Georgia Commission on the Hard of Hearing; create,HB 1653,12500,2003_04
Monuments honoring military personnel; protection,HB 1654,12505,2003_04
Clean fuel use; state and local governments; public schools; provisions,HB 1655,12508,2003_04
Ad valorem tax; motor vehicles; exempt Medal of Honor recipients,HB 1656,12510,2003_04
Juries; peremptory challenges; equal number of strikes,HB 1657,12511,2003_04
Cobb County; board of commissioners; compensation,HB 1658,12512,2003_04
Cobb County; deputy clerk of superior court; compensation,HB 1659,12513,2003_04
Clayton County; state court; impose technology fee,HB 1660,12514,2003_04
Lowndes County Public Facilities Authority; create,HB 1661,12529,2003_04
"Smyrna, City of; homestead exemption; certain residents",HB 1662,12538,2003_04
"Odum, City of; certain committees and chairs; mayoral voting",HB 1663,12539,2003_04
Fannin County; magistrate court; county law library fees,HB 1664,12540,2003_04
Intangible tax; property in more than one county; prorated payment,HB 1665,12541,2003_04
Murray County; homestead exemption,HB 1666,12542,2003_04
Murray County; homestead exemption,HB 1667,12543,2003_04
White County; water and sewerage authority; membership provisions,HB 1668,12544,2003_04
Agricultural commodities promotion; assessments; amend certain provisions,HB 1669,12545,2003_04
Smoking in public places; prohibitions; certain exceptions,HB 1670,12548,2003_04
Natural gas; universal service fund; extending services,HB 1671,12547,2003_04
"Architects and interior designers; education, research, and recovery fund; establish",HB 1672,12546,2003_04
Sexual offender registry; certain defendants; registration requirements,HB 1673,12556,2003_04
Torts; free health clinics; limit liability,HB 1674,12557,2003_04
"Gainesville, City of; board of education; elections",HB 1675,12558,2003_04
Haralson County School Building Authority; create,HB 1676,12575,2003_04
Education; kindergarten attendance requirement,HB 1677,12559,2003_04
Juries; peremptory challenges; equal number of strikes,HB 1678,12560,2003_04
Health; advisory committee on hearing in newborn infants; continuation,HB 1679,12562,2003_04
Elbert County; tax commissioner; compensation,HB 1680,12576,2003_04
"Washington, City of; amend provisions",HB 1681,12577,2003_04
Elbert County; probate judge and superior court clerk; salary,HB 1682,12578,2003_04
Elbert County; sheriff; compensation,HB 1683,12579,2003_04
Perry-Houston Couny Airport Authority; membership,HB 1684,12587,2003_04
Troup County; state court; solicitor-general,HB 1685,12588,2003_04
Income tax; repeal; prohibit levy and collection,HB 1686,12589,2003_04
Drivers' licenses; certain records; furnish to Georgia Bureau of Investigation,HB 1687,12591,2003_04
"Lavonia, City of; corporate limits",HB 1688,12592,2003_04
HOPE scholarships; loss of eligibility; certain freshmen,HB 1689,12593,2003_04
Public transportation; certain offenses; local jurisdiction,HB 1690,12594,2003_04
"State agencies, etc.; 5% short fall; report in writing to Budgetary Responsibility Oversight Committee",HB 1691,12596,2003_04
Karon's Law; enact; repository; donated prescription drugs,HB 1692,12597,2003_04
Pickens County; magistrate court; county law library fees,HB 1693,12598,2003_04
Pickens County; land use ordinance; advisory referendum,HB 1694,12599,2003_04
Gilmer County; magistrate court; county law library fees,HB 1695,12600,2003_04
"Administsrative Services, Department of; multiyear contracts; real property",HB 1696,12602,2003_04
Water pollution control and surface-water use; permits; fees,HB 1697,12611,2003_04
Education; certain personnel; continuing education online,HB 1698,12613,2003_04
Gwinnett County; homestead exemption; certain residents,HB 1699,12614,2003_04
Bibb County; board of education; school tax provisions,HB 1700,12615,2003_04
Speech-language pathologists and audiologists; advisory committee on hearing in newborns,HB 1701,12619,2003_04
Pardons and paroles; board employees; police powers,HB 1702,12621,2003_04
Hunting; primitive weapons; amend muzzleloading firearm provisions,HB 1703,12623,2003_04
State program of health services; fiscal condition; annual reports,HB 1704,12641,2003_04
"Lyerly, City of; homestead exemption; certain residents",HB 1705,12642,2003_04
"Volunteers in health care, dentistry, and medicine; revise provisions",HB 1706,12643,2003_04
Business Equity Act of 2004; provisions,HB 1707,12644,2003_04
State agencies; furloughs or reduction in force; prohibit hiring; exceptions,HB 1708,12646,2003_04
Nursing homes; influenza virus vaccine; offer patients annually,HB 1709,12647,2003_04
Ad valorem tax; appeals procedures; military service,HB 1710,12648,2003_04
Torts; free health clinics; limit liability,HB 1711,12649,2003_04
"Civil practice, evidentiary matters, and liability in tort actions; comprehensive revision of provisions",HB 1712,12650,2003_04
Deferred Presentment Services Act; enact,HB 1713,12651,2003_04
Service delivery; funding; comprehensive provisions,HB 1714,12652,2003_04
Western Area Regional Radio System Authority; create,HB 1715,12653,2003_04
Barrow County; board of elections and registration; create,HB 1716,12657,2003_04
Chatham County; board of elections; numbered posts,HB 1717,12658,2003_04
Effingham Family Connection Commission; membership provisions,HB 1718,12659,2003_04
Glascock County; board of education; revise districts,HB 1719,12660,2003_04
Ambulance services; reimbursement for Medicaid recipients and indigents,HB 1720,12661,2003_04
Ware County; board of elections; create,HB 1721,12662,2003_04
Commercial crabbing; certain violations; punishments,HB 1722,12663,2003_04
"Local boards of education; child abuse, neglect, and abduction; develop prevention program",HB 1723,12664,2003_04
"Thunderbolt, City of; homestead exemption; unremarried surviving spouse",HB 1724,12694,2003_04
"Vernonburg, City of; homestead exemption; unremarried surviving spouse",HB 1725,12695,2003_04
"Tybee Island, City of; homestead exemption; unremarried surviving spouse",HB 1726,12696,2003_04
"Port Wentworth, City of; homestead exemption; unremarried surviving spouse",HB 1727,12697,2003_04
"Bloomingdale, City of; homestead exemption; unremarried surviving spouse",HB 1728,12698,2003_04
"Savannah, City of; homestead exemption; unremarried surviving spouse",HB 1729,12699,2003_04
"Garden City, City of; homestead exemption; unremarried surviving spouse",HB 1730,12700,2003_04
Chatham County and City of Savannah; homestead exemption; unremarried surviving spouse,HB 1731,12701,2003_04
"Pooler, City of; homestead exemption; unremarried surviving spouse",HB 1732,12702,2003_04
"Chatham County; homestead exemption; unremarried surviving spouse
",HB 1733,12703,2003_04
City of East Point Charter Commission; create,HB 1734,12704,2003_04
"Griffin, City of; new charter",HB 1735,12705,2003_04
Cobb County; board of commissioners; compensation,HB 1736,12735,2003_04
Property insurance; warranty service agreements; surety bonds,HB 1737,12736,2003_04
Cobb County; state court; certain costs,HB 1738,12738,2003_04
Juries; peremptory challenges; equal number of strikes,HB 1739,12739,2003_04
Open meetings; school districts; athletic and fine arts associations,HB 1740,12740,2003_04
Weapons; carrying without license; repeal certain power of governor,HB 1741,12745,2003_04
Open meetings; exemption; local boards of education; discipline issues,HB 1742,12742,2003_04
License plates; state and local government vehicles; permanent plates,HB 1743,12741,2003_04
Sales tax exemption; nonprofit organizations providing child services,HB 1744,12743,2003_04
Laurens County; magistrate court; chief magistrate; compensation,HB 1745,12746,2003_04
Emergency '911' systems; joint authorities; intergovernment contracts,HB 1746,12748,2003_04
Rabun County; certain hospital facilities; certain compliance,HB 1747,12771,2003_04
"Trion, Town of; board of education; powers and duties",HB 1748,12772,2003_04
House districts; reapportionment; amend certain provisions,HB 1749,12773,2003_04
"Congressional, House, and Senate districts; amend certain provisions",HB 1750,12774,2003_04
State employees' health insurance; coverage; certain health centers,HB 1751,12775,2003_04
"Carrollton, City of; board of education; independent school system",HB 1752,12777,2003_04
"Gainesville, City of; homestead exemption; certain residents",HB 1753,12778,2003_04
"Griffin, City of; lease municipal property",HB 1754,12779,2003_04
"Sunny Side, City of; council; terms of office",HB 1755,12780,2003_04
"Ball Ground, City of; corporate limits",HB 1756,12781,2003_04
Coweta County; state court; continuation,HB 1757,12782,2003_04
Special purpose 1 percent sales tax; proceeds; publish,HB 1758,12791,2003_04
Transfer students; courses in Georgia history; requirement; exemptions,HB 1759,12792,2003_04
Georgia Regional Transportation Authority; administrative assignment; Department of Transportation,HB 1760,12793,2003_04
Public funding; social services by certain religious or sectarian institutions; exceptions,HB 1761,12794,2003_04
Fannin County; homestead exemption; base year assessed value,HB 1762,12795,2003_04
"Rome, City of; school building authority; create",HB 1763,12796,2003_04
Fannin County; homestead exemption; certain residents,HB 1764,12797,2003_04
Motor vehicles and traffic; implied consent warning; amend provisions,HB 1765,12818,2003_04
Aquaculture Development Act of 2004; enact provisions,HB 1766,12831,2003_04
Special county 1 percent sales tax; consolidated governments; public safety,HB 1767,12833,2003_04
Floyd County; homestead exemption; certain residents,HB 1768,12838,2003_04
Ethics; Code of Fair Campaign Practices; provisions,HB 1769,12839,2003_04
Floyd County; homestead exemption; certain residents,HB 1770,12841,2003_04
Crawford County; board of elections and registration; create,HB 1771,12840,2003_04
Nurse Involuntary Mandatory Overtime Act; enact,HB 1772,12844,2003_04
Turner County; board of education; compensation,HB 1773,12845,2003_04
Holly Springs Parks and Recreation Authority; create,HB 1774,12851,2003_04
Income tax credit; certain motion picture production investments,HB 1775,12866,2003_04
"Cobb County; chief deputy sheriff, chief investigator, executive assistant; compensation",HB 1776,12867,2003_04
Jeff Davis County Public Facilities Authority; create,HB 1777,12868,2003_04
"Pooler, City of; new charter",HB 1778,12869,2003_04
DeKalb County; chief executive officer and board of commissioners; amend provisions,HB 1779,12870,2003_04
"Guyton, City of; corporate limits",HB 1780,12871,2003_04
"Guyton, City of; corporate limits; referendum",HB 1781,12872,2003_04
"Dalton, City of; homestead exemption; certain residents",HB 1782,12877,2003_04
"Dalton, City of; homestead exemption; certain residents; referendum",HB 1783,12878,2003_04
"East Dublin, City of; corporate limits",HB 1784,12879,2003_04
Certificate of need; injectable medications administered in home; certain exemptions,HB 1785,12880,2003_04
"Macon, City of; community improvement districts; provisions",HB 1786,12887,2003_04
Columbia County; board of education; chairperson; nonpartisan election,HB 1787,12888,2003_04
"Gray, City of; corporate limits",HB 1788,12889,2003_04
Lee County Parks and Recreation Authority; create,HB 1789,12899,2003_04
Torts; joint trespassers; damages; recovery; amend provisions,HB 1790,12939,2003_04
Torts; joint trespassers; damages; recovery; amend provisions,HB 1791,12940,2003_04
Local governments; interlocal agreements; comprehensive regulation; provisions,HB 1792,12941,2003_04
Torts; limiting liability of free health clinics; provide,HB 1793,12942,2003_04
"Carnesville, City of; new charter",HB 1794,12973,2003_04
Carroll County; education districts; reapportion,HB 1795,12975,2003_04
Stephens County Historic Courthouse Restoration Authority; create,HB 1796,12977,2003_04
"Waleska, City of; corporate boundaries; municipal powers; amend provisions",HB 1797,12980,2003_04
"Rome, City of; homestead exemption; certain residents",HB 1798,12982,2003_04
Public services or benefits; eligibility; citizenship and residency,HB 1799,12985,2003_04
X-ray equipment; require annual training and education,HB 1800,13000,2003_04
"Bowman, City of; city council; mayor; amend provisions",HB 1801,13001,2003_04
Lakeland-Lanier County; unification of existing governments; provisions,HB 1802,13013,2003_04
Frivolous Litigation Prevention Act; enact,HB 1803,13015,2003_04
Civil cases; required forms for filing complaints or judgments,HB 1804,13016,2003_04
Torts; certain hospital emergency room physicians; liability,HB 1805,13017,2003_04
Malpractice insurance; cancellation/increase in premiums; agent restrictions,HB 1806,13018,2003_04
Fines and forfeitures; civil filing fee; indigent defense fund,HB 1807,13035,2003_04
Courts; senior magistrate; create office; provisions,HB 1808,13036,2003_04
Crimes; Child Protection Registry; create,HB 1809,13037,2003_04
"Holly Springs, City of; redevelopment powers",HB 1810,13038,2003_04
Candler County Public Building Authority; create,HB 1811,13041,2003_04
Motor vehicles; security interests or leins; failure to cancel,HB 1812,13097,2003_04
Torts; medical malpractice; limit attorney's fees,HB 1813,13103,2003_04
Cherokee County; redevelopment powers,HB 1814,13104,2003_04
"Woodstock, City of; corporate limits",HB 1815,13105,2003_04
Brantley County; residential waste; advisory referendum,HB 1816,13108,2003_04
Jackson County; education districts; reapportion,HB 1817,13109,2003_04
"Mitchell, Town of; new charter",HB 1818,13145,2003_04
Pike County; office of county manager,HB 1819,13146,2003_04
Columbia County; certain officials; health insurance program,HB 1820,13147,2003_04
Glynn County; homestead exemption; certain surviving spouse,HB 1821,13150,2003_04
Pickens County; board of education; certain per diems,HB 1822,13148,2003_04
"Alpharetta, City of; mayor and council members; compensation",HB 1823,13152,2003_04
"Rockmart, City of; homestead exemption; certain residents",HB 1824,13153,2003_04
Glynn County; homestead exemption; unremarried surviving spouse,HB 1825,13155,2003_04
Glynn County; repeal constitutional amendment; referendum,HB 1826,13160,2003_04
Forsyth County; board of commissioners; compensation and expenses payable,HB 1827,13162,2003_04
"Metter, City of; mayor and city manager; powers and duties",HB 1828,13168,2003_04
"Clayton, City of; corporate limits",HB 1829,13173,2003_04
"Carrollton, City of; school tax levy; provisions",HB 1830,13176,2003_04
Alpharetta Building Authority; create,HB 1831,13178,2003_04
"Marietta, City of; homestead exemption; disabled residents",HB 1832,13186,2003_04
Lamar County Livestock and Agriculture Exposition Authority; membership,HB 1833,13188,2003_04
Local government contracts; optional bidding preference; local businesses,HB 1834,13215,2003_04
Postmajority child support; certain disabilities; provisions,HB 1835,13350,2003_04
"Regional development centers; state-wide
water managemnet plan; provisions",HB 1836,13863,2003_04
State flag; change design - CA,HR 1,7966,2003_04
Residential real property; freeze values; ad valorem tax; assess at acquisition date value - CA,HR 2,7967,2003_04
Teacher salary supplements; certain donations - CA,HR 3,7968,2003_04
Ad valorem tax; limit increase of millage rate and property value - CA,HR 4,7976,2003_04
Ad valorem tax; limit increase of millage rate and property value - CA,HR 5,7977,2003_04
Ad valorem tax; limit increase of millage rate and property value - CA,HR 6,7978,2003_04
Ad valorem tax; millage rate or valuation increases; limitations - CA,HR 7,7988,2003_04
Ad valorem tax; millage rate or valuation increases; limitations - CA,HR 8,7989,2003_04
Notify Senate; House convened,HR 9,8007,2003_04
"House; relative to officials, employees, and committees",HR 10,8009,2003_04
Rules of House; adopt,HR 11,8010,2003_04
Joint session; Governor's message,HR 12,8019,2003_04
"Fincher, Elizabeth ""Liz""; commend",HR 13,8020,2003_04
"Putnam General Hospital; commend administrator, board, and staff",HR 14,8021,2003_04
Atlantic Intracoastal Waterway Association; commend,HR 15,8022,2003_04
"Brown, James Loyce, Sr.; condolences",HR 16,8023,2003_04
"Knight, Rev. Jerry; commend",HR 17,8024,2003_04
"Davis, Robert R.; condolences",HR 18,8025,2003_04
"Johnson, Lorraine A.; commend",HR 19,8026,2003_04
"Waters, Michael David; commend",HR 20,8027,2003_04
Bona fide agricultural property; preferential assessment; additional forms - CA,HR 21,8068,2003_04
Homestead exemption; state-wide base year assessed value - CA,HR 22,8093,2003_04
Children of deceased POST officers; urge free college tuition,HR 23,8094,2003_04
Joint Study Committee on State Government Decentralization; create,HR 24,8049,2003_04
Robert Henry Jordan Memorial Highway; designate,HR 25,8095,2003_04
Children of certain officers; tuition-free college; General Assembly provide by law - CA,HR 26,8096,2003_04
USA as Judeo-Christian nation; urge Congress reaffirm,HR 27,8102,2003_04
Sonny Kemp Intersection; designate in Hall County,HR 28,8103,2003_04
J. Max Davis Interchange; designate,HR 29,8104,2003_04
"Carter, Honorable James Earl ""Jimmy"", Jr.; commend and invite to House",HR 30,8121,2003_04
Adjournment; relative to,HR 31,8108,2003_04
Joint session; message from Chief Justice of Supreme Court,HR 32,8109,2003_04
"Baisley, Bill; commend",HR 33,8112,2003_04
Georgia urban agricultural industry; commend,HR 34,8113,2003_04
"Transylvania Club of Sandersville, Georgia; commend",HR 35,8114,2003_04
"Huefner, Robert; 2002 Wendy's High School Heisman Award; commend",HR 36,8115,2003_04
"Meadows, Frances; condolences",HR 37,8116,2003_04
"Waldrip, Don; condolences",HR 38,8117,2003_04
"Smithgall, Charles Augustus, Jr.; condolences",HR 39,8118,2003_04
"Police chiefs and department heads; observe day of recognition, 3/12/03",HR 40,8119,2003_04
"Weigand, A. Frank, Jr.; condolences",HR 41,8120,2003_04
"Tillman, Honorable E. C.; commend",HR 42,8122,2003_04
Education funding; repeal ad valorem tax; impose excise tax on motor fuel - CA,HR 43,8135,2003_04
Public initiative referendums; provisions - CA,HR 44,8136,2003_04
Ad valorem tax; appraise property at owner's acquisition cost - CA,HR 45,8137,2003_04
"Cooper, Howard;
commend",HR 46,8158,2003_04
Wilkes County Emergency Medical Service; commend,HR 47,8159,2003_04
House Special Grants Study Committee; create,HR 48,8161,2003_04
"Wallace, Homer L.; commend",HR 49,8150,2003_04
"Israel, State of; urge national support; declare Georgia support",HR 50,8162,2003_04
House Study Committee on Uniform High School Grading; create,HR 51,8163,2003_04
Joint Mold Standards Study Committee; create,HR 52,8164,2003_04
House Study Committee on Penalties for Driving Under the Influence Offenses; create,HR 53,8179,2003_04
House Study Committee on Establishing a Family Day; create,HR 54,8180,2003_04
"Pease, Kyle; commend and invite to House",HR 55,8196,2003_04
Georgia Farm Bureau Federation; commend and invite president to House,HR 56,8197,2003_04
Effingham County Day; recognize,HR 57,8198,2003_04
"King, Phillip E.; commend",HR 58,8199,2003_04
Dallas First Baptist Church; express regret at loss,HR 59,8200,2003_04
"Murphy, Honorable Thomas B.; House Speaker; recognize ",HR 60,8201,2003_04
"Boy Scout Week; recognize calendar week of February 8, 2003",HR 61,8202,2003_04
"Sumrell, Josh; commend",HR 62,8203,2003_04
"District 48 Legislative Day at the Capitol; recognize February 20, 2003",HR 63,8205,2003_04
House Energy Efficient Homes Study Committee; create,HR 64,8222,2003_04
House Study Committee on Technology Education; create,HR 65,8228,2003_04
State Road and Tollway Authority; use of tolls,HR 66,8241,2003_04
General Assembly; reapportionment by independent commission - CA,HR 67,8242,2003_04
Supreme Court; jurisdiction; certain questions of law - CA,HR 68,8246,2003_04
Screven County High School football team; commend and invite to House,HR 69,8256,2003_04
"""Forestry Day at the Capitol"", January 30, 2003; invite certain Georgia Forestry Association members to House",HR 70,8255,2003_04
"""Motorcycle Awareness and You Month""; recognize May, 2003",HR 71,8257,2003_04
"Roberts, Bennie; condolences",HR 72,8258,2003_04
"Harper, Tina M.; commend",HR 73,8259,2003_04
"Byrnes, Christopher Mason; commend",HR 74,8260,2003_04
"Mock, Cornell, Sr.; commend",HR 75,8261,2003_04
"Thompson, Stephen Mack; commend",HR 76,8264,2003_04
"Purcell, Wynelle; commend",HR 77,8263,2003_04
"Roland, Donald ""Lance""; condolences",HR 78,8265,2003_04
"Rummel, Katie Ruth; condolences",HR 79,8266,2003_04
Homestead exemption; state-wide base year assessed value - CA,HR 80,8303,2003_04
Harold Mann Memorial Interchange; designate,HR 81,8304,2003_04
Southwest Georgia Regional Public Library System; invite certain library representatives to House,HR 82,8319,2003_04
"Harper, Tina M.; commend",HR 83,8320,2003_04
"Cranshaw, Lonieze H.; commend",HR 84,8322,2003_04
"Armstrong, Mark Clayton; commend",HR 85,8323,2003_04
Georgia's county election superintendents and county election board members; commend,HR 86,8324,2003_04
U.S. President and nation's armed forces; express support of House,HR 87,8326,2003_04
Jim Gillis-Historic Savannah Parkway; designate,HR 88,8364,2003_04
Elected officials; party affiliation; certain prohibition - CA,HR 89,8365,2003_04
Veterans Memorial Highway; designate; Banks County veterans; commend,HR 90,8366,2003_04
Adjournment; relative to,HR 91,8381,2003_04
"Blackstock, Ms. Mavis; compensate",HR 92,8404,2003_04
"Professional Association of Georgia Educators Day; recognize ""PAGE Day on Capitol Hill"" 2/11/03; invite officers to House",HR 93,8424,2003_04
Pope High School Lady Greyhounds soccer team; invite coaches and players to House,HR 94,8425,2003_04
Free and Accepted Masons of Georgia and the Order of the Eastern Star; invite to House,HR 95,8426,2003_04
"Shipman, Reverend James ""JC""; commend",HR 96,8423,2003_04
"Benson, Earl ""Buck"",  Jr.; condolences",HR 97,8428,2003_04
Lanierland Music Park; commend,HR 98,8429,2003_04
"21st Century Leaders Day at the Capitol; recognize January 31, 2003",HR 99,8430,2003_04
"""2003 Home Education Week"" in Georgia; recognize February 2-8, 2003",HR 100,8450,2003_04
"""African American Railroader Month"" in Georgia; recognize February, 2003",HR 101,8455,2003_04
"Towers, Admiral John Henry ""Jack""; commend",HR 102,8451,2003_04
Clarkston High School Band; commend,HR 103,8452,2003_04
Jack Connell Parkway; designate,HR 104,8449,2003_04
"Dental Hygienists' Appreciation Day; recognize February 7, 2003; invite to House",HR 105,8453,2003_04
Sheriff-elect Derwin Brown Memorial Bridge; designate,HR 106,8460,2003_04
Staff Sgt. Avely W. Runnels Memorial Highway; designate,HR 107,8461,2003_04
Sales tax on certain food and beverages; allocate to homeowner's incentive adjustment - CA,HR 108,8464,2003_04
"Halo, Sano Themia and Thea; commend",HR 109,8468,2003_04
"Wyatt, Sarah; commend",HR 110,8469,2003_04
Community Health Centers Day; invite designated representatives to House,HR 111,8470,2003_04
University of Georgia football team; invite Head Coach Mark Richt and others to House,HR 112,8471,2003_04
"Haley, Johnathan N.; invite to House",HR 113,8472,2003_04
Athens Chamber of Commerce; recognize 100th anniversary; invite representatives to House,HR 114,8473,2003_04
"Martin Luther King, Jr., Bypass; designate",HR 115,8507,2003_04
"Firefighters' Recognition Day; recognize February 4, 2003",HR 116,8526,2003_04
"Mordecai, Erin A.; commend",HR 117,8542,2003_04
"Bain, Stephen; commend",HR 118,8543,2003_04
"Ramon, Ilan; condolences",HR 119,8544,2003_04
"""Girls and Women in Sports Day""; recognize February 6, 2003",HR 120,8545,2003_04
English Avenue Elementary School; commend teachers,HR 121,8546,2003_04
"Maxwell, Frances Baldwin; commend",HR 122,8547,2003_04
"Markette, Hayden Augustus; commend",HR 123,8548,2003_04
Gainesville High School Red Elephants baseball team; commend seniors,HR 124,8549,2003_04
Future Farmers of America; recognize 75th anniversary,HR 125,8550,2003_04
Space Shuttle Columbia crew; condolences,HR 126,8551,2003_04
"Alpha Kappa Alpha Day at Capitol; recognize February 17, 2003; invite Marjorie Young to House",HR 127,8552,2003_04
Lt. Col. Doyce Ariail Highway; designate,HR 128,8570,2003_04
Shelton Isaiah DeLoach Memorial Bridge; designate,HR 129,8571,2003_04
Local school boards and superintendents; method of selection provided by law - CA,HR 130,8572,2003_04
Albert Shelton Swindell Memorial Highway; designate,HR 131,8573,2003_04
Keith Kalland Connector; designate,HR 132,8574,2003_04
Robert Ray Parkway; designate,HR 133,8575,2003_04
Pope High School slow pitch softball team; invite to House,HR 134,8595,2003_04
"Bland, Laura; 2003 Georgia Watermelon Queen; invite to House",HR 135,8596,2003_04
"Rogers, Captain Sharon Elaine; commend",HR 136,8597,2003_04
"Talley, Deacon Alfred Lee; commend",HR 137,8598,2003_04
"Carmack, Ellen Gilreath; condolences",HR 138,8599,2003_04
"Gantt, Janice A.; commend",HR 139,8600,2003_04
Gainesville High School Red Elephants baseball team; commend,HR 140,8601,2003_04
"Gelbrich, Peter; commend",HR 141,8602,2003_04
Gresham Park 12 Year Old Tigers baseball team; invite to House,HR 142,8603,2003_04
Fire protection; certain subscriptions; urge Congress to provide federal income tax deduction,HR 143,8624,2003_04
Property in industrial area; owner voluntarily remove - CA,HR 144,8625,2003_04
Certain teachers; salary step increases; urge State Board of Education adopt,HR 145,8626,2003_04
Dean Bryant Intersection; designate,HR 146,8627,2003_04
Joint MARTA Finance Study Committee; create,HR 147,8628,2003_04
State capitol buildings; urge Federal Aviation Administration restrict airspace,HR 148,8629,2003_04
"Ryles, Cole; invite to House",HR 149,8672,2003_04
Cordele-Crisp County Fish Fry; invite cooking team to House,HR 150,8673,2003_04
Presbytery of Greater Atlanta; invite representatives to House,HR 151,8674,2003_04
"Mulkey, Amy; commend",HR 152,8675,2003_04
"Kennedy, Nancy C.; commend",HR 153,8676,2003_04
"Cobb County Day at the Capitol; declare February 14, 2003",HR 154,8678,2003_04
"Earley, Michelle; commend",HR 155,8679,2003_04
"Parr, Honorable Thomas; commend",HR 156,8680,2003_04
"Adams, Joe Barber, Jr.; condolences",HR 157,8681,2003_04
"Salter, Alex; commend",HR 158,8682,2003_04
"Swindell, Greg; commend",HR 159,8683,2003_04
"Scott, Dr. Paul; commend",HR 160,8684,2003_04
"Jamieson, Honorable Jeanette; commend",HR 161,8686,2003_04
"Davis, Kristen; 4-H honoree; commend",HR 162,8687,2003_04
"Sims, Cliff; 4-H honoree; commend",HR 163,8688,2003_04
"Hall, Hugh Don; condolences",HR 164,8689,2003_04
"Ledbetter, Lauren; 4-H honoree; commend",HR 165,8690,2003_04
"Whorton, Stefanie; 4-H honoree; commend",HR 166,8691,2003_04
